D4;D10;D21;D36;D60
0.00202993;3.03E-03;2.54E-03;2.75E-02;
0.00196852;3.02E-03;2.41E-03;2.60E-02;
0.00195856;2.99E-03;2.10E-03;2.52E-02;
0.00195026;2.91E-03;1.25E-03;2.29E-02;
0.00181914;2.89E-03;1.15E-03;2.24E-02;
1.81E-03;2.81E-03;8.58E-04;2.18E-02;
0.0018125;2.78E-03;;2.09E-02
0.001771;2.36E-03;;2.07E-02
0.00176934;2.23E-03;;2.04E-02
0.00173449;2.22E-03;;2.01E-02
1.73E-03;2.00E-03;;1.97E-02
0.00170627;1.88E-03;;1.84E-02
0.00157183;1.29E-03;;1.82E-02
0.00155689;1.21E-03;;1.77E-02
0.00138427;1.03E-03;;1.69E-02
0.00131622;9.61E-04;;1.62E-02
0.00129464;5.10E-04;;1.45E-02
0.001288;;;1.23E-02
0.00128302;;;1.22E-02
0.00125149;;;1.10E-02
0.00124651;;;6.08E-03
1.23E-03;;;
0.00119671
1.17E-03
0.00111704
1.02E-03
0.000946085
0.000917868
0.000914549
0.000841517
0.00082492
0.000750229
0.000750229
0.000702095
0.000680517
0.000645661
0.000612465
0.000539434
0.000516197
0.000474702
0.000453125
0.000375114
0.000370135
0.000353537
0.000340259
0.000335279
0.000305403
0.000265568
0.000253949
0.000230712
0.000132784
8.80E-05
7.64E-05
6.47E-05
6.47E-05
2.32E-05
